name,path,plasmocitos,nao_plasmocitos,fold,type
IMG01159,../data/processed/pascal_voc/IMG01159.xml,4,15,1,test
IMG_20230628_182734,../data/processed/pascal_voc/IMG_20230628_182734.xml,1,3,1,test
P_20221014_145157,../data/processed/pascal_voc/P_20221014_145157.xml,4,0,1,test
IMG_1919,../data/processed/pascal_voc/IMG_1919.xml,1,10,1,test
IMG00907,../data/processed/pascal_voc/IMG00907.xml,1,8,1,test
P_20221014_143350,../data/processed/pascal_voc/P_20221014_143350.xml,1,1,1,test
IMG_20230628_184923,../data/processed/pascal_voc/IMG_20230628_184923.xml,6,12,1,test
1692243677995,../data/processed/pascal_voc/1692243677995.xml,2,1,1,test
IMG_20230628_183922,../data/processed/pascal_voc/IMG_20230628_183922.xml,5,13,1,test
IMG_0349,../data/processed/pascal_voc/IMG_0349.xml,9,4,1,test
IMG_20230628_185151,../data/processed/pascal_voc/IMG_20230628_185151.xml,3,1,1,test
1692243679276,../data/processed/pascal_voc/1692243679276.xml,2,1,1,test
1692243680365,../data/processed/pascal_voc/1692243680365.xml,3,2,1,test
1692243677966,../data/processed/pascal_voc/1692243677966.xml,4,0,1,test
IMG00085,../data/processed/pascal_voc/IMG00085.xml,2,13,1,test
P_20221014_150005,../data/processed/pascal_voc/P_20221014_150005.xml,4,0,1,test
1692243678027,../data/processed/pascal_voc/1692243678027.xml,3,2,1,test
IMG_0649,../data/processed/pascal_voc/IMG_0649.xml,3,17,1,test
1692243679850,../data/processed/pascal_voc/1692243679850.xml,1,2,1,test
IMG_20230628_182857,../data/processed/pascal_voc/IMG_20230628_182857.xml,2,8,1,test
IMG00006,../data/processed/pascal_voc/IMG00006.xml,13,2,1,test
1692243678218,../data/processed/pascal_voc/1692243678218.xml,1,2,1,test
IMG_0050,../data/processed/pascal_voc/IMG_0050.xml,3,20,1,test
IMG_20230628_190124,../data/processed/pascal_voc/IMG_20230628_190124.xml,3,3,1,test
IMG_20230628_183120,../data/processed/pascal_voc/IMG_20230628_183120.xml,2,6,1,test
IMG_20230628_190048,../data/processed/pascal_voc/IMG_20230628_190048.xml,3,0,1,test
1692243679047,../data/processed/pascal_voc/1692243679047.xml,1,1,1,test
